Word,Occurrences,Steps
clapping,2,3
slamming,7,13
plumes,1,1
stooped,5,9
member,9,17
protested,2,3
relapse,1,1
explanations,2,3
cafes,1,1
missing,2,3
agreeably,1,1
impulses,2,3
Instead,1,1
such,215,429
arsenic,1,1
patting,3,5
full,122,243
initials,2,3
handsome,40,79
smiling,35,69
dauntless,1,1
ice,17,33
cards,5,9
Before,11,21
Gate,1,1
chewing,2,3
Nan,2,3
18,1,1
radiant,1,1
crocky,2,3
sardines,1,1
Truth,3,5
garnet,1,1
including,1,1
roguish,1,1
Ours,1,1
prediction,1,1
chaotic,3,5
K,5,9
defiant,2,3
Church,1,1
sow,2,3
Parisian,1,1
surpassing,1,1
lunatics,1,1
eager,14,27
Charms,1,1
demands,1,1
materials,1,1
respectfully,10,19
Tents,1,1
ghostly,2,3
bringing,7,13
selling,4,7
pallor,1,1
grimly,1,1
Christendom,1,1
potter,1,1
bibs,1,1
goodnatured,1,1
pegged,1,1
L,1,1
Staels,1,1
hushing,1,1
for,2143,4285
detest,2,3
clattering,1,1
nurse,9,17
M,3,5
clanking,1,1
twitch,1,1
Both,7,13
Making,1,1
ridiculous,7,13
Grecian,2,3
pricking,1,1
acts,2,3
fools,2,3
elephantine,1,1
Weller,4,7
immortal,4,7
points,6,11
throats,1,1
buttons,10,19
nip,1,1
harmonious,1,1
refraining,1,1
complaint,2,3
Nap,1,1
Prut,4,7
misfortunes,1,1
sighed,33,65
spend,19,37
quiver,6,11
everlasting,3,5
suits,7,13
corners,6,11
monitor,1,1
morsel,3,5
suck,1,1
ravished,1,1
complains,2,3
Snodgrass,10,19
mingled,9,17
N,1,1
tells,5,9
Napoleon,3,5
Canada,1,1
bullet,1,1
commanded,5,9
astride,1,1
mania,4,7
complimentary,2,3
hooting,1,1
scrollwork,1,1
toothbrush,1,1
musicians,1,1
Goes,1,1
recognized,1,1
Touched,1,1
milk,12,23
lies,6,11
kinder,5,9
Take,14,27
key,10,19
skating,4,7
blunderbuss,1,1
affect,3,5
knee,16,31
powder,2,3
passionate,4,7
closets,1,1
freely,10,19
dogs,3,5
O,3,5
mystery,6,11
nettles,1,1
nautical,2,3
Tutors,1,1
Mountain,1,1
haymaking,1,1
prevail,1,1
boiler,1,1
reglar,1,1
vestige,1,1
askew,2,3
repaying,1,1
forgiveness,1,1
gush,1,1
Bottom,1,1
Dashwoodss,1,1
guilt,1,1
resume,2,3
marm,1,1
horn,1,1
satisfaction,48,95
check,7,13
partner,4,7
coffee,18,35
merrymaking,1,1
fast,43,85
P,4,7
flag,1,1
overshoes,1,1
contrasting,2,3
breastpin,1,1
Valnor,1,1
produce,4,7
insist,2,3
squint,1,1
vest,2,3
trooping,1,1
discuss,1,1
grant,1,1
futurity,1,1
bounded,2,3
rascals,3,5
examples,1,1
struggle,3,5
bestows,2,3
prodigious,1,1
LETTERS,1,1
filling,5,9
melted,2,3
Rook,1,1
accomplish,2,3
urn,2,3
Rights,1,1
labyrinth,1,1
consternation,1,1
figuratively,2,3
sits,3,5
Year,2,3
heimweh,1,1
Moffatt,1,1
madamoiselle,2,3
ostentatiously,1,1
pounds,1,1
laughs,2,3
mistake,17,33
enjoyed,41,81
puzzled,5,9
explosions,2,3
Moffats,12,23
occupants,1,1
ordinary,4,7
seeds,3,5
spoons,2,3
resided,1,1
offending,2,3
feathered,1,1
Baby,1,1
exit,2,3
spice,3,5
aquatic,1,1
leaked,1,1
Danneckers,1,1
baggy,1,1
disillusioned,1,1
coated,1,1
heartiness,1,1
pockets,8,15
China,1,1
influenced,1,1
teachers,5,9
deeply,15,29
beatitude,1,1
discussions,2,3
S,3,5
introduce,2,3
Hoping,1,1
simplicity,2,3
fox,1,1
blackened,1,1
hesitate,1,1
dispose,2,3
inquiry,5,9
irritation,1,1
dedicated,1,1
masterful,1,1
Pining,1,1
revoir,1,1
claimed,1,1
courtliness,1,1
cookies,1,1
believe,57,113
shoulder,16,31
sheets,7,13
point,20,39
glowed,6,11
criticized,4,7
students,3,5
meanwhile,5,9
fact,26,51
doomed,2,3
chess,1,1
T,1,1
benefits,1,1
dexterity,1,1
lacked,1,1
sold,5,9
forgetful,2,3
concatenation,1,1
misjudged,1,1
lends,1,1
Himself,1,1
attached,2,3
lieth,1,1
nice,105,209
state,40,79
stout,12,23
hides,1,1
fussing,4,7
chest,6,11
soupcon,1,1
fitting,4,7
grieves,1,1
Marmee:,1,1
Mean,1,1
Highty,1,1
tranquilly,1,1
Juliet,1,1
wholly,2,3
committing,1,1
mollified,1,1
tedious,1,1
Halifax,1,1
showers,1,1
madly,1,1
Coming,1,1
joked,1,1
elegant,24,47
blaze,9,17
air,111,221
ist,3,5
whatever,14,27
chamber,1,1
chant,1,1
Something,9,17
societies,1,1
jiffy,3,5
tableau,2,3
motive,2,3
LAURIE,1,1
ladyship,3,5
bustling,1,1
fortress,1,1
tag,1,1
parent,3,5
revolutions,1,1
incumbrances,1,1
rumors,1,1
You,251,501
grow,27,53
Witches,1,1
needlewoman,1,1
haunts,2,3
misdemeanors,2,3
scramble,2,3
paddling,2,3
number,8,15
circus,1,1
confidants,1,1
simplest,1,1
seizing,2,3
absurdity,1,1
burdened,2,3
Bhaers,8,15
Cardiglias,1,1
sauntered,1,1
precincts,2,3
estimation,1,1
weariness,2,3
presents,10,19
She,317,633
twilight,12,23
believed,15,29
house,131,261
teeth,6,11
heavier,2,3
rate,7,13
dearest,16,31
perfume,2,3
coaxingly,1,1
claim,3,5
fetlock,3,5
Health,1,1
web,1,1
flustered,1,1
spick,1,1
portions,2,3
maker,2,3
rebuke,2,3
charge,2,3
caprices,1,1
Marmar,4,7
jest,1,1
wiles,1,1
Dodgers,1,1
featherless,1,1
makes,34,67
cuddled,5,9
plumed,1,1
thirsty,1,1
verse,3,5
sting,1,1
bend,4,7
flap,3,5
workbasket,3,5
glided,3,5
gits,1,1
Fortune,1,1
Spartan,1,1
abruptness,1,1
cousin,2,3
Tin,1,1
womanliest,1,1
dawned,1,1
lucre,1,1
primitive,1,1
Mornin,1,1
pledged,1,1
wed,4,7
Macbeth,1,1
happen,15,29
productions,1,1
wrath,5,9
deepest,3,5
Dora,2,3
rapped,2,3
Friend,4,7
romping,4,7
experiments,3,5
biscuits,1,1
Lotty,6,11
Weary,1,1
sobered,1,1
mantua,1,1
gad,1,1
Femme,1,1
defrauded,1,1
feasted,1,1
villain,9,17
remorse,5,9
biscuit,2,3
leads,2,3
literal,2,3
seriously,5,9
credit,10,19
proceeded,7,13
describe,9,17
wishing,13,25
gust,2,3
experiment,14,27
bounden,1,1
pirate,2,3
cared,7,13
wring,2,3
Alpine,1,1
reproached,2,3
royal,1,1
bonnie,3,5
incidents,1,1
sympathetic,3,5
Paradise,1,1
pathos,1,1
elastic,1,1
mode,2,3
philoprogenitiveness,1,1
again,158,315
live,38,75
gold,10,19
Beths,51,101
mothers,43,85
furnace,2,3
bigger,5,9
ring,26,51
blush,8,15
forgiven,8,15
river,29,57
weigh,2,3
building,2,3
strip,1,1
subdued,4,7
AM,1,1
incoherently,1,1
dandies,2,3
genial,2,3
Cathedral,1,1
traitorous,2,3
toiling,1,1
relationship,1,1
silesia,2,3
valiantly,1,1
flat,10,19
thrilling,9,17
company,30,59
shout,5,9
auburn,1,1
statues,2,3
simultaneous,1,1
height,2,3
boiled,4,7
Could,3,5
slyly,3,5
oddest,1,1
rob,2,3
roast,1,1
molds,1,1
definition,1,1
Grundy,3,5
discussed,1,1
unpardonable,2,3
Bhaery,1,1
unalterable,1,1
Promenade,1,1
bough,2,3
sniff,6,11
four,47,93
pencils,4,7
pickle,4,7
ourselves,15,29
spent,17,33
retainer,1,1
informs,2,3
salary,4,7
behavior,4,7
Tis,2,3
mutely,3,5
backed,2,3
Curtis,2,3
sample,2,3
Restante,1,1
rampantly,2,3
Villa,1,1
wails,1,1
strand,1,1
scapegrace,1,1
timid,12,23
commanding,4,7
Next,10,19
thanked,13,25
coal,3,5
Wasnt,5,9
glories,4,7
nervously,3,5
tap,5,9
uttered,9,17
womanly,11,21
unaware,1,1
drinkables,1,1
passers,2,3
warnings,1,1
clawing,1,1
DAYS,1,1
Allyluyer,1,1
distributed,1,1
shine,6,11
result,3,5
eternal,1,1
unpacked,1,1
draperies,1,1
Bonnivard,1,1
sternly,2,3
Deeds,1,1
grumbled,2,3
spoke,72,143
shoes,9,17
isnt,92,183
life,143,285
truant,1,1
fate,12,23
lead,11,21
Nathaniel,1,1
ODE,1,1
contrary,6,11
amount,5,9
mistress,11,21
adjourned,2,3
balloons,1,1
dined,1,1
observe,5,9
niece,2,3
objection),1,1
grayer,1,1
ingenuity,1,1
fortuitous,1,1
expose,1,1
sinners,2,3
Bach,1,1
pasting,1,1
Jo),1,1
a,4325,8649
find,119,237
tar,1,1
knew,125,249
human,20,39
effective,6,11
tragical,2,3
rumpled,3,5
maple,1,1
pardoned,1,1
truest,1,1
shade,5,9
dramatis,1,1
clumsy,3,5
mutton,2,3
pangs,1,1
Lennoxs,1,1
travelled,1,1
emptying,1,1
manners,28,55
fine,85,169
Hugos,1,1
Bethy,4,7
anybody,9,17
popped,3,5
influences,2,3
fashionable,18,35
charmed,4,7
20,1,1
mirth,2,3
AS,2,3
fishing,1,1
bearing,8,15
deuce,3,5
leaf,4,7
lingered,2,3
lengthened,1,1
Theresa,1,1
announcing,1,1
sights,1,1
abstinence,1,1
arguments,1,1
mannling,1,1
deplorable,1,1
heels,10,19
burn,13,25
Progress,5,9
revels,1,1
spirit,62,123
Back,1,1
portrait,2,3
enticements,1,1
granted,3,5
foes,1,1
fume,2,3
acknowledgment,1,1
producing,5,9
Bull,1,1
loaded,3,5
strangely,1,1
disrespectful,2,3
cavalier,1,1
parish,1,1
degeneracy,1,1
stump,1,1
convulse,1,1
ferment,2,3
Ahem,1,1
darting,1,1
Chaise,1,1
devouring,1,1
wriggled,1,1
uncongenial,1,1
gymnast,1,1
rather,152,303
decided,37,73
slashed,1,1
thwart,1,1
whose,36,71
Are,14,27
wrapping,2,3
jokes,4,7
Right,1,1
sake,20,39
relation,3,5
travelling,1,1
Monday,4,7
economical,1,1
restrain,3,5
relenting,2,3
collared,1,1
revelations,1,1
Mama,1,1
aspirant,1,1
baths,1,1
rein,2,3
dignify,1,1
virtually,1,1
Bereft,1,1
dusky,1,1
embitter,1,1
pitty,3,5
regretfully,2,3
smelling,2,3
jovial,3,5
cheering,4,7
separated,3,5
letting,7,13
vivacity,1,1
listen,16,31
ground,9,17
stove,7,13
fortnight,5,9
tidily,1,1
deliver,8,15
MAY,1,1
spurned,1,1
price,6,11
guessing,1,1
encourage,1,1
gnats,1,1
hose,2,3
$100,1,1
deciding,2,3
august,1,1
patroness,1,1
stability,1,1
occupying,1,1
wraith,1,1
Sweets,1,1
Christmas,37,73
little,709,1417
interest,38,75
curtain,14,27
pearl,5,9
trips,3,5
hopefully,6,11
Cherie,1,1
amusements,2,3
proposition,1,1
earth,6,11
strings,4,7
AUNT,1,1
rats,1,1
Toodles,1,1
quicker,1,1
ensued,1,1
Kirke,13,25
spicy,1,1
Jura,1,1
centuries,1,1
constructed,1,1
desolation,1,1
coherent,1,1
use,54,107
housetop,1,1
fireplace,2,3
murmured,4,7
romantic,15,29
burr,4,7
coat,12,23
selfishnesses,1,1
merriment,10,19
disliked,3,5
Home,6,11
recollection,3,5
page,14,27
divided,2,3
afresh,2,3
profusion,2,3
executed,1,1
Flirtations,1,1
beautify,1,1
quality,1,1
Write,1,1
believes,2,3
Junglings,1,1
cross,32,63
idle,14,27
mishap,3,5
inkstand,4,7
older,13,25
Other,3,5
conversations,5,9
minding,2,3
worried,14,27
beheld,4,7
gadding,2,3
regretful,1,1
miser,1,1
Mont,2,3
engraved,1,1
prided,3,5
knock,3,5
Tired,1,1
Rest,1,1
stroking,6,11
silence,28,55
feelings,28,55
finish,14,27
drinks,2,3
rapturous,3,5
Wouldnt,12,23
wave,5,9
nonsense,17,33
reprimands,1,1
heaven,9,17
childs,2,3
bent,16,31
battles,1,1
purposes,2,3
prefers,1,1
maidservants,1,1
merit,2,3
humoredly,1,1
banc),1,1
shells,2,3
organ,1,1
Objective,1,1
stabbed,1,1
orchard,4,7
yield,1,1
gas,1,1
toils,1,1
chosen,8,15
wet,15,29
Redclyffe,1,1
cares,13,25
however,30,59
thoughts,27,53
question,19,37
courage,14,27
necklace,3,5
inspired,4,7
scorned,1,1
degenerate,1,1
costs,2,3
poodles,1,1
render,3,5
Eyes,1,1
reproaches,1,1
Ark,1,1
pleasanting,1,1
lounge,2,3
taming,1,1
lean,3,5
Squirrels,1,1
costly,1,1
Everybody,9,17
skirt,6,11
consisting,1,1
wipe,3,5
crooked,1,1
BEING,1,1
toss,4,7
stooping,4,7
patient,22,43
Chiny,1,1
tilting,1,1
Whether,3,5
Begging,1,1
coax,1,1
petulance,1,1
revolve,1,1
ad,1,1
needler,1,1
without,122,243
needles,5,9
homesickness,2,3
countries,1,1
Crinkle,1,1
leap,3,5
aside,6,11
willing,14,27
cunning,2,3
warning,8,15
suppertime,1,1
mask,3,5
l,1,1
Eagle,3,5
freed,2,3
driven,3,5
slid,2,3
shelves,2,3
Henshaw,1,1
liquid,1,1
carpets,2,3
uneventful,2,3
rapid,2,3
accounted,2,3
spite,79,157
Ill,216,431
different,16,31
youd,57,113
lovers,23,45
walking,17,33
specimens,1,1
Didnt,12,23
confiding,8,15
future,9,17
pell,3,5
objecting,1,1
exerted,2,3
Geese,1,1
minor,1,1
unspoiled,1,1
beneath,1,1
captivate,1,1
overrun,1,1
Toms,1,1
curling,2,3
neighbor,9,17
aristocratic,10,19
fascinated,2,3
Scarlet,3,5
reluctant,2,3
Tale,1,1
Fearing,2,3
heaping,2,3
landed,1,1
tasks,4,7
pennies,1,1
interfered,1,1
raptures,1,1
tile,1,1
Punch,1,1
Rotten,1,1
Betsey,1,1
type,1,1
clenched,1,1
jealousy,1,1
hearthrug,1,1
pasteboard,1,1
pleasing,16,31
ladylike,4,7
lift,7,13
gay,27,53
confiscated,2,3
disgusting,1,1
WEEKLY,2,3
ah,4,7
removing,1,1
tournament,1,1
thankful,1,1
ravages,1,1
Excellently,1,1
long,213,425
knitting,7,13
faithfully,9,17
accept,12,23
dared,8,15
astounding,1,1
pretense,3,5
repining,1,1
ferns,6,11
embarrassing,1,1
chocolate,6,11
uncommon,3,5
wiping,2,3
jes,1,1
serving,2,3
massive,3,5
mission,5,9
lingerer,1,1
CORRESPONDENT,1,1
twirl,1,1
earlier,1,1
theyd,1,1
Bhaer,78,155
century,1,1
paler,1,1
sentimentality,1,1
Mendelssohn,1,1
Fans,1,1
dramatic,6,11
employed,4,7
shocked,2,3
revengeful,1,1
caps,3,5
excuse,6,11
triumph,4,7
paws,1,1
crew,1,1
adorned,11,21
labors,4,7
yelped,1,1
jet,1,1
admirable,2,3
vessels,1,1
piques,2,3
barouche,1,1
openly,3,5
Phillips,1,1
clusters,1,1
howled,1,1
petulant,1,1
trusts,1,1
expressly,1,1
readiest,1,1
barrier,1,1
bankrupt,1,1
agonies,1,1
disappeared,7,13
melting,1,1
row,15,29
Man,1,1
whod,1,1
SIX,4,7
wrongs,4,7
repulsed,1,1
struggling,3,5
knowledge,5,9
master,9,17
merrily,3,5
excite,1,1
thicker,2,3
Sahara,1,1
Hospital,2,3
funds,1,1
Unquenchables,1,1
Peg,1,1
excluded,1,1
responsible,1,1
meannesses,1,1
argued,1,1
thumb,1,1
gifest,1,1
hard,138,275
vanities,4,7
opera,6,11
excitedly,3,5
hoarded,1,1
delusion,8,15
heaved,2,3
threes,1,1
impartial,1,1
mental,3,5
masquerading,1,1
violence,1,1
piously,1,1
archway,2,3
Natural,2,3
overlook,1,1
illustrations,1,1
its,235,469
some,254,507
am,117,233
dawn,4,7
firin,1,1
fragment,1,1
operas,2,3
host,4,7
souls,11,21
Talk,2,3
telegraph,5,9
likely,4,7
odds,2,3
acknowledge,2,3
merino,2,3
plum,2,3
mass,2,3
approach,1,1
diplomatically,1,1
suggestion,3,5
depart,2,3
chaos,1,1
forebodings,1,1
an,453,905
till,187,373
while,201,401
slipped,15,29
content,14,27
lonely,27,53
sometime,5,9
parting,7,13
shady,4,7
tenderhearted,3,5
perwisin,1,1
Martin,1,1
Cowley,1,1
bundled,3,5
welcome,25,49
thing,119,237
covered,24,47
wasted,7,13
hated,6,11
sleepy,5,9
quaint,6,11
chin,11,21
teacher,6,11
families,4,7
neath,1,1
Wednesday,1,1
honorary,1,1
inquisitive,3,5
Angelo,1,1
Adieu,2,3
frettin,1,1
sacrificing,1,1
testiness,1,1
doctored,1,1
aforesaid,2,3
Women,5,9
ugliness,1,1
promiscuously,1,1
lobsters,1,1
tranquil,9,17
resugared,1,1
connection,1,1
dislikes,1,1
follows,1,1
old,371,741
perhaps,26,51
worries,13,25
City,5,9
robes,1,1
Half,7,13
serve,7,13
imaginary,8,15
preferred,7,13
listless,4,7
redoubtable,1,1
attractive,10,19
purse,4,7
delightfully,10,19
rippling,1,1
unwise,1,1
PICKWICK,2,3
well],1,1
biting,1,1
Ah,22,43
discontent,2,3
arranging,2,3
riddles,1,1
paper),1,1
ruthlessly,1,1
relate,1,1
diffident,1,1
reread,2,3
Demon,1,1
fortunately,1,1
mouf,1,1
sphere,2,3
pacing,2,3
cloudy,1,1
falls,4,7
bounced,4,7
Young,6,11
discovered,24,47
slip,10,19
tipped,1,1
effigies,1,1
obedient,1,1
Head,2,3
respeckful,1,1
scribble,2,3
cluck,1,1
dangling,1,1
bowing,1,1
Devinely,1,1
Balzacs,1,1
inspirer,1,1
mit,1,1
devoted,26,51
glitter,2,3
acquainted,3,5
midgets,1,1
affliction,9,17
Vicar,2,3
reproachful,7,13
efforts,20,39
viands,1,1
pranks,7,13
shrilly,1,1
passes,2,3
SECRETS,1,1
disposed,4,7
amiably,2,3
sleeves,1,1
questioned,1,1
clinging,4,7
irritating,1,1
centerpiece,1,1
Sight,1,1
solicitude,1,1
roadside,1,1
Lovely,1,1
HARVEST,1,1
think,276,551
as,1874,3747
vocabilary,1,1
immediately,9,17
sad,35,69
finds,5,9
fright,7,13
solemn,8,15
Plumfield,8,15
sincerity,2,3
captive,3,5
rubbishy,1,1
tars,1,1
utmost,1,1
recited,1,1
lamb,2,3
prominent,2,3
passer,1,1
Stranger,1,1
controlled,1,1
Corsica,1,1
at,1013,2025
your,439,877
whom,34,67
Put,4,7
haste,6,11
against,39,77
instrument,6,11
sweetness,5,9
Lincoln,2,3
dotes,1,1
spits,1,1
decorated,2,3
butcher,1,1
wrung,4,7
attic,1,1
Pyramids,1,1
Bath,1,1
pretended,1,1
stocks,1,1
foreseen,1,1
Fib,1,1
tart,1,1
strolls,1,1
detachment,1,1
firelight,2,3
fruit,16,31
mix,1,1
victim,3,5
peoples,11,21
holiday,12,23
relieved,15,29
momentary,5,9
interesting,18,35
courtesy,1,1
PALACE,1,1
return,22,43
withdrawing,2,3
President,6,11
sleeps,4,7
Kitchen,1,1
mixture,9,17
tartly,1,1
Am,5,9
harm,12,23
bush,2,3
Rasselas,1,1
anyhow,1,1
idly,1,1
avoided,2,3
Graduating,1,1
rung,1,1
groan,4,7
others,52,103
May,31,61
guitars,1,1
memories,1,1
wildly,6,11
midst,5,9
lame,6,11
impression,10,19
hill,11,21
appropriate,14,27
character,22,43
splendor,7,13
flirt,5,9
Hall,4,7
McFlimsey,1,1
discouraging,1,1
wreath,3,5
An,10,19
Begin,1,1
wavy,2,3
appeased,3,5
outlives,1,1
Eliott,2,3
birthday,5,9
needle,5,9
fervently,2,3
Hegel,1,1
betokens,1,1
bribes,1,1
mysterious,11,21
Years,8,15
Arent,7,13
perpetual,5,9
experience,19,37
handful,3,5
suspense,3,5
assembled,4,7
deliberately,2,3
contraband,1,1
conscience,10,19
housewives,1,1
Instantly,1,1
spinning,3,5
clouds,8,15
snuff,1,1
Madames,1,1
Psyche,1,1
latticed,1,1
thrilled,1,1
Histories,1,1
churning,1,1
trivial,1,1
penitent,9,17
Daisey,2,3
wisely,7,13
hemlock,1,1
likewise,17,33
dares,1,1
helplessly,1,1
sweetfaced,1,1
duchesses,1,1
harp,2,3
illusion,2,3
roads,2,3
readers,5,9
yellow,19,37
already,18,35
fellows,16,31
frocks,1,1
thats,34,67
throat,10,19
stopping,12,23
sounds,6,11
subdue,2,3
critically,2,3
refrigerator,2,3
Dear:,1,1
dashing,4,7
Hurrah,1,1
heavenly,7,13
pelted,1,1
NINETEEN,1,1
varying,1,1
landscapes,1,1
outdone,1,1
Save,2,3
Then,101,201
MERRY,1,1
presence,13,25
rescue,12,23
applause,4,7
ruined,2,3
Keep,4,7
settle,11,21
commy,2,3
Work,1,1
sepulchral,1,1
jumbled,3,5
alive,7,13
demand,9,17
demonstration,2,3
cattle,2,3
fund,1,1
scissors,1,1
pastime,2,3
withstood,1,1
havent,50,99
their,333,665
As,92,183
peace,26,51
simper,1,1
enemies,4,7
facing,1,1
ribbon,16,31
guessed,5,9
remorseful,3,5
trial,9,17
brooding,1,1
World,2,3
breathing,1,1
rainbow,1,1
endowed,1,1
knives,1,1
moire,1,1
kindling,1,1
covertly,1,1
puritanical,1,1
Thus,1,1
Genoa,1,1
try,111,221
At,39,77
theater,5,9
Having,10,19
complacently,3,5
Bangs,7,13
rousing,3,5
buyer,1,1
varied,2,3
crossbeam,1,1
attract,1,1
Queens,1,1
Pomonas,1,1
childrens,6,11
slippery,2,3
pride,33,65
horseback,1,1
badges,2,3
brow,5,9
Sir,17,33
Society,2,3
receptacle,1,1
departure,5,9
Straws,1,1
Cake,1,1
Post,1,1
forbearance,1,1
Frenchman,3,5
effervescence,1,1
intellectual,2,3
inches,1,1
chaperon,1,1
Au,1,1
Sacred,1,1
glorify,1,1
bundles,13,25
giggle,2,3
undertook,7,13
Goodbye,4,7
outgrew,1,1
control,7,13
benefit,6,11
hates,6,11
haunted,8,15
pairs,9,17
knocked,9,17
downcast,3,5
fancies,4,7
mate,3,5
Hamlet,2,3
newspaperman,1,1
liberties,3,5
parley,1,1
fictions,1,1
Peinte,1,1
tingle,1,1
trespass,1,1
yander,1,1
mind,156,311
straight,28,55
bits,12,23
guitar,1,1
Gardiner,7,13
discontented,6,11
bookcases,1,1
harsh,2,3
Pile,1,1
pussies,2,3
Hear,2,3
Yesm,1,1
Sit,4,7
streaming,1,1
regularity,4,7
feathery,1,1
Marriage,1,1
Undine,2,3
mine,48,95
leave,61,121
altogether,29,57
drill,2,3
stretch,4,7
gratefully,16,31
distracted,7,13
muffs,1,1
toast,6,11
interested,19,37
nimble,1,1
trading,1,1
composure,2,3
determined,4,7
treated,6,11
bargains,2,3
expressionless,1,1
willingly,2,3
mildly,2,3
plentiful,1,1
transition,1,1
investment,1,1
thanksgiving,1,1
trumpet,2,3
clover,1,1
pummeled,1,1
whisky,1,1
happy,167,333
lamp,7,13
advice,26,51
warmed,5,9
maids,10,19
passed,32,63
office,13,25
consumed,1,1
abed,2,3
runs,3,5
bust,1,1
omens,4,7
timidly,1,1
amicable,2,3
pillowed,1,1
standish,2,3
enveloped,3,5
unbelieving,1,1
select,2,3
pincushion,1,1
OUR,1,1
query,1,1
science,1,1
riot,1,1
adoring,1,1
Weve,3,5
give,122,243
behave,11,21
Operatic,1,1
strong,50,99
touching,17,33
suppose,28,55
made,292,583
snood,1,1
regard,9,17
alas,3,5
completed,2,3
meaning,12,23
clasping,2,3
DUSTPAN,1,1
scolding,7,13
doorway,2,3
unsaddened,1,1
Ask,1,1
bold,5,9
browned,1,1
recklessly,1,1
Patronage,1,1
shorten,1,1
Chillon,1,1
fewer,1,1
sat,133,265
slippers,21,41
piece,12,23
Six,3,5
Ach,2,3
eyebrows,12,23
way),1,1
brooms,2,3
Middling,1,1
reminder,2,3
energetic,9,17
sentimentlly,1,1
slapping,1,1
saving,4,7
greatly,3,5
counted,1,1
imitation,3,5
conviction,4,7
inhospitable,1,1
skelter,1,1
Park,2,3
Gardens,2,3
Imagine,1,1
juvenile,2,3
seeking,1,1
bids,1,1
vessel,1,1
ballad,1,1
be,984,1967
green,28,55
crash,3,5
sober,32,63
abroad,16,31
unusual,16,31
peopled,1,1
tombs,2,3
vacation,6,11
fan,8,15
sketched,3,5
victorious,2,3
scowled,1,1
husband,34,67
spices,1,1
invitingly,4,7
gale,2,3
philander,1,1
stealing,2,3
GOSSIP,1,1
afforded,3,5
beguiled,1,1
presentable,1,1
eligible,2,3
celebrity,1,1
vehicles,1,1
showered,1,1
consuls,1,1
dusting,2,3
They,104,207
stormy,4,7
locks,3,5
feathers,5,9
advise,7,13
shed,24,47
cozily,1,1
attributed,1,1
gayly,2,3
dissatisfied,1,1
diversions,1,1
REPORT,1,1
somehow,8,15
brimmed,1,1
imploringly,3,5
defending,2,3
disapproving,1,1
consult,3,5
Under,2,3
twice,6,11
offend,2,3
Anni,1,1
bribed,2,3
setout,1,1
fourteen,1,1
demd,1,1
spending,4,7
Neckar,1,1
Precious,2,3
inflammable,2,3
toeing,1,1
monsieur,3,5
uncomplaining,1,1
chivalry,1,1
time,314,627
anyway,5,9
saw,142,283
busy,56,111
bravely,13,25
stable,2,3
workers,2,3
wonder,22,43
amiable,13,25
giggled,2,3
Allow,1,1
shorter,1,1
harrrow,1,1
cooling,2,3
seal,4,7
immediate,1,1
recollecting,1,1
discouragements,1,1
external,2,3
salts,1,1
childlike,1,1
passive,1,1
intently,1,1
wells,1,1
affectations,2,3
Vanity,1,1
warmest,1,1
round,87,173
pensive,11,21
cheek,18,35
meantime,6,11
nicely,11,21
lesser,1,1
declined,3,5
gardens,3,5
coddling,1,1
screamed,5,9
Thursday,5,9
alcove,1,1
camps,1,1
fitly,2,3
seam,1,1
difficult,5,9
talkers,1,1
hedges,1,1
abnegation,1,1
shapes,1,1
delayed,1,1
capabilities,1,1
say,271,541
far,56,111
curls,13,25
notion,3,5
golden,18,35
hasty,12,23
cette,1,1
learned,36,71
repulsive,2,3
spied,1,1
lid,6,11
rankled,2,3
phrase,1,1
confused,2,3
reception,6,11
maidenly,1,1
period,4,7
refinement,1,1
Professor,57,113
defiance,1,1
panic,3,5
faultless,1,1
roofs,1,1
Duke,2,3
nightgown,3,5
harshness,1,1
debate,1,1
figure,18,35
sketch,17,33
sixteen,3,5
cleared,11,21
Timidly,1,1
gingerbread,8,15
smuggled,1,1
lie,12,23
dog,9,17
mouths,3,5
saddens,1,1
latch,1,1
scraped,1,1
Reynolds,1,1
epitaphs,1,1
Johnsonianly,1,1
equipages,1,1
sportive,1,1
Jouvins,1,1
spools,1,1
task,14,27
piano,26,51
collected,5,9
mein,2,3
festivals,2,3
fat,14,27
flushed,10,19
greet,4,7
Adelon,2,3
strawberries,4,7
lament,5,9
desirable,4,7
candor,1,1
sketchbook,3,5
indescribably,1,1
serenity,2,3
Telemachus,1,1
interred,1,1
climbing,1,1
LORD,1,1
well,320,639
Mrs,244,487
streak,3,5
chaplain,1,1
stabbing,2,3
light,49,97
amazingly,5,9
virtues,9,17
salt,2,3
bedewed,2,3
department,2,3
fervor,1,1
obedience,3,5
coquetry,1,1
rewarded,2,3
limited,2,3
JOS,1,1
pronouncing,1,1
monastery,1,1
storms,1,1
look,235,469
sleep,33,65
wants,13,25
alone,79,157
during,17,33
Doing,1,1
satisfy,12,23
Nearly,1,1
Slave,1,1
twinkling,1,1
Be,11,21
mats,2,3
perversity,3,5
dishcloths,2,3
chaps,1,1
salty,1,1
tatting,1,1
relevant,1,1
quizzing,1,1
repentant,3,5
succession,1,1
hobbledehoy,1,1
Come,35,69
Here,30,59
acquaintances,3,5
grumble,2,3
Kings,8,15
grounds,3,5
calamity,1,1
chord,2,3
daddy,1,1
fancied,19,37
extra,4,7
climax,2,3
cookery,1,1
ants,1,1
brine,1,1
harbor,1,1
sift,1,1
wherever,3,5
improper,3,5
answering,2,3
